No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	3	10uF	C1,C2,C8	C0603		HGC0603R5106M250NTHJ	Chinocera(华瓷)	C7472961	LCSC
2	4	10uF	C3,C5,C6,C7	C0603		CL10A106KP8NNNC	SAMSUNG(三星)	C19702	LCSC
3	3	100nF	C4,C9,C10	C0603		CGA0603X7R104K250JT	HRE(芯声)	C6119861	LCSC
4	1	220uF	C11	CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-FD		RVT220UF6.3V67RV0014	KNSCHA(科尼盛)	C2895278	LCSC
5	1	HC-ZE-2AWT	CN2	CONN-SMD_2P-P1.50_JST_SM02B-ZESS-TB		HC-ZE-2AWT	HCTL(华灿天禄)	C5196923	LCSC
6	1	ME6211C33M5G-N	LDO1	SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL		ME6211C33M5G-N	MICRONE(南京微盟)	C82942	LCSC
7	64	SK6805-EC14	LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED40,LED41,LED42,LED43,LED44,LED45,LED46,LED47,LED48,LED49,LED50,LED51,LED52,LED53,LED54,LED55,LED56,LED57,LED58,LED59,LED60,LED61,LED62,LED63,LED64,LED65,LED66,LED67,LED68,LED69,LED70,LED71,LED72,LED73,LED74	LED-SMD_4P-L1.4-W1.4-TL		SK6805-EC14	欧思科光电	C2909055	LCSC
8	2	5.1kΩ	R1,R2	R0603		AT0603BRD075K1L	YAGEO(国巨)	C914801	LCSC
9	3	4.7kΩ	R3,R5,R6	R0603		AT0603BRD074K7L	YAGEO(国巨)	C855887	LCSC
10	1	10kΩ	R4	R0603		AT0603BRD0710KL	YAGEO(国巨)	C723396	LCSC
11	2	22Ω	R7,R8	R0603		CRCW060322R0FKEA	VISHAY(威世)	C71618	LCSC
12	1	330Ω	R9	R0603		AR03BTCX3300	Viking(光颉)	C2984350	LCSC
13	2	100kΩ	R10,R11	R0603		RT0603DRE07100KL	YAGEO(国巨)	C327122	LCSC
14	1	MST-12D18G4 SPDT SLIDE SWITCH	SW1	SW-SMD_MST-12D18G4-SPDT-SLIDE-SWITCH		MST-12D18G4 SPDT Slide Switch	SHOU HAN(首韩)	C49023767	LCSC
15	2	TS-1187A-B-A-B	SW2,SW3	SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5		TS-1187A-B-A-B	XKB Connection(中国星坤)	C318884	LCSC
16	1	TP4056	U1	ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP		TP4056-42-ESOP8	TOPPOWER(南京拓微)	C16581	LCSC
17	1	ESP32-C3-MINI-1-N4	U2	WIFIM-SMD_ESP32-C3-MINI-1		ESP32-C3-MINI-1-N4	ESPRESSIF(乐鑫)	C2838502	LCSC
18	1	SC7A20HTR	U3	LGA-12_L2.0-W2.0-P0.50-TL		SC7A20HTR	SILAN(士兰微)	C19274408	LCSC
19	1	74AHCT1G125QSE-7	U4	SOT-353-5_L2.0-W1.3-P0.65-LS2.1-BR		74AHCT1G125QSE-7	DIODES(美台)	C7039245	LCSC
20	1	TYPE-C-31-M-12	USBC1	USB-C_SMD-TYPE-C-31-M-12_1		TYPE-C-31-M-12	韩国韩荣	C165948	LCSC
